RunId,iteration,Step,green,yellow,red,total,cumulative_distance,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,cleaned,steps_executed,disposed_green,disposed_yellow,disposed_red,disposed_total,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,width,height,exploration_share_interval_steps,policy_profile_green,policy_profile_yellow,policy_profile_red,seed,config,distance_stagnation
0,0,57,0,1,0,1,4,46.0,,21.0,,,False,57,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,58,0,1,0,1,3,46.0,,21.0,,,False,58,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,59,0,1,0,1,2,46.0,,21.0,,,False,59,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,60,0,1,0,1,1,46.0,,21.0,,,False,60,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,61,0,1,0,1,0,46.0,,21.0,,,False,61,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,62,0,0,0,0,0,46.0,62.0,21.0,62.0,62.0,True,62,2,3,4,9,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,0,4,4,4,12,0,,,,,,False,0,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,1,4,4,4,12,79,,,,,,False,1,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,2,4,4,4,12,79,,,,,,False,2,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,3,4,4,4,12,77,,,,,,False,3,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,4,4,4,4,12,73,,,,,,False,4,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,5,4,4,4,12,69,,,,,,False,5,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,6,4,4,4,12,68,,,,,,False,6,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,7,4,4,4,12,65,,,,,,False,7,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,8,4,4,4,12,64,,,,,,False,8,0,0,0,0,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,9,4,4,3,11,64,,,,,,False,9,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,10,4,4,3,11,64,,,,,,False,10,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,11,4,4,3,11,62,,,,,,False,11,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,12,4,4,3,11,60,,,,,,False,12,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,13,4,4,3,11,60,,,,,,False,13,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,14,4,4,3,11,58,,,,,,False,14,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,15,4,4,3,11,58,,,,,,False,15,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,16,4,4,3,11,56,,,,,,False,16,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,17,4,4,3,11,54,,,,,,False,17,0,0,1,1,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
1,0,18,4,3,3,10,52,,,,,,False,18,0,1,1,2,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1001,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
